Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Energy Storage,Natural Gas LDC Name,Natural Gas Pipeline Name 1,Natural Gas Pipeline Name 2,Natural Gas Pipeline Name 3,Pipeline Notes,Natural Gas Storage,Liquefied Natural Gas Storage
2931,Village of Campbell - (NE),2225,Campbell Village,South Railway Street,Campbell,NE,68932,Franklin,40.2992,-98.7331,MRO,SWPP,Southwest Power Pool,Groundwater,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Village of Campbell - (NE),2931,NE,2.4, , ,N,,,,,,,
13337,Nebraska Public Power District,2226,Canaday,74965 Rd 435,Lexington,NE,68850,Gosper,40.6942,-99.7011,MRO,SWPP,Southwest Power Pool,Tri-County Supply Canal,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,,Tallgrass Interstate Gas Transmission,,,,X,X
3271,Central Nebraska Pub P&I Dist,2227,Jeffrey,19420 S. Brady-Moorefield Road,Brady,NE,69123,Lincoln,40.959405,-100.397905,MRO,SWPP,Southwest Power Pool,Platte River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115,34.5, ,N,,,,,,X,X
3271,Central Nebraska Pub P&I Dist,2228,Johnson 1,42874 Johnson Lake Drive 29,Elwood,NE,68937,Gosper,40.6936,-99.8178,MRO,SWPP,Southwest Power Pool,Platte River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
3271,Central Nebraska Pub P&I Dist,2229,Johnson 2,43282 Road 749,Lexington,NE,68850,Gosper,40.6839,-99.7447,MRO,SWPP,Southwest Power Pool,Platte River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
3373,City of Chappell - (NE),2230,Chappell,757 Second St,Chappell,NE,69129,Deuel,41.092589,-102.471547,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Chappell - (NE),3373,NE,2.4, , ,N,,,,,,X,X
4527,City of Crete,2231,Crete,243 East 13th Street,Crete,NE,68333,Saline,40.6253,-96.9601,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,,X,,City of Crete,4527,NE,14, , ,N,,BLACK HILLS ENERGY,,,,N,
4661,City of Curtis - (NE),2232,Curtis,310 Center Avenue,Curtis,NE,69025,Frontier,40.631453,-100.515161,MRO,SWPP,Southwest Power Pool,Municipality/ Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Curtis - (NE),4661,NE,12.5, , ,N,,SOURCE GAS DISTRIBUTION LLC,,,,N,N
4836,City of David City,2233,David City,402 5th St,David City,NE,68632,Butler,41.254652,-97.119202,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Butler Public Power District - (NE),2643,NE,34.5, , ,N,BLACK HILLS ENERGY,,,,,X,X
5097,City of Deshler - (NE),2234,Deshler,305 E Bryson,Deshler,NE,68340,Thayer,40.1408,-97.7239,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Norris Public Power District,13664,NE,34.5, , ,N,,,,,,X,X
